FIPS,Name of Area,Qualifying Name,State/U.S.-Abbreviation (USPS),Summary Level,Geographic Component,File Identification,Logical Record Number,US,Region,Division,State (Census Code),State (FIPS),County,County Subdivision (FIPS),Place (FIPS Code),Place (State FIPS + Place FIPS),Census Tract,Block Group,Consolidated City,American Indian Area/Alaska Native Area/Hawaiian Home Land (Census),American Indian Area/Alaska Native Area/Hawaiian Home Land (FIPS),American Indian Trust Land/Hawaiian Home Land Indicator,American Indian Tribal Subdivision (Census),American Indian Tribal Subdivision (FIPS),Alaska Native Regional Corporation (FIPS),Metropolitan and Micropolitan Statistical Area,Combined Statistical Area,Metropolitan Division,Metropolitan Area Central City,Metropolitan/Micropolitan Indicator Flag,New England City and Town Combined Statistical Area,New England City and Town Area,New England City and Town Area Division,Urban Area,Urban Area Central Place,Current Congressional District ***,State Legislative District Upper,State Legislative District Lower,Voting District,ZIP Code Tabulation Area (3-digit),ZIP Code Tabulation Area (5-digit),Subbarrio (FIPS),School District (Elementary),School District (Secondary),School District (Unified),Urban/Rural,Principal City Indicator,Traffic Analysis Zone,Urban Growth Area,Public Use Microdata Area - 5% File,Public Use Microdata Area - 1% File,Geographic Identifier,Tribal Tract,Tribal Block Group,Area (Land),Area (Water),Total Population,Total Population,Population Density (Per Sq. Mile),Area (Land),Total Population:,Total Population: Male,Total Population: Female,Total Population:,Total Population: Under 5 Years,Total Population: 5 to 9 Years,Total Population: 10 to 14 Years,Total Population: 15 to 17 Years,Total Population: 18 to 24 Years,Total Population: 25 to 34 Years,Total Population: 35 to 44 Years,Total Population: 45 to 54 Years,Total Population: 55 to 64 Years,Total Population: 65 to 74 Years,Total Population: 75 to 84 Years,Total Population: 85 Years and Over,Total Population:,Total Population: White Alone,Total Population: Black or African American Alone,Total Population: American Indian and Alaska Native Alone,Total Population: Asian Alone,Total Population: Native Hawaiian and Other Pacific Islander Alone,Total Population: Some Other Race Alone,Total Population: Two or More Races,Households:,Households: Family Households,Households: Family Households: Married-Couple Family,Households: Family Households: Other Family,"Households: Family Households: Other Family: Male Householder, No Wife Present","Households: Family Households: Other Family: Female Householder, No Husband Present",Households: Nonfamily Households,Households: Nonfamily Households: Male Householder,Households: Nonfamily Households: Female Householder,Median Household Income (In 2017 Inflation Adjusted Dollars),Housing Units,Occupied Housing Units:,Occupied Housing Units: Owner Occupied,Occupied Housing Units: Renter Occupied,Population for Whom Poverty Status Is Determined:,Population for Whom Poverty Status Is Determined: Under 1.00 (Doing Poorly),Population for Whom Poverty Status Is Determined: 1.00 to 1.99 (Struggling),Population for Whom Poverty Status Is Determined: Under 2.00 (Poor or Struggling),Population for Whom Poverty Status Is Determined: 2.00 and Over (Doing Ok)
6075011000,"Census Tract 110, San Francisco County, California","Census Tract 110, San Francisco County, California",ca,140,0,ACSSF,8993,,,,,6,75,,,,11000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06075011000,,,239179,0,4989,4989,54024.18,0.092347532,4989,2235,2754,4989,120,0,65,0,262,2393,468,364,600,348,190,179,4989,2687,88,0,2066,0,115,33,2519,883,795,88,23,65,1636,812,824,134948,2871,2519,459,2060,4989,250,534,784,4205
6075011100,"Census Tract 111, San Francisco County, California","Census Tract 111, San Francisco County, California",ca,140,0,ACSSF,8994,,,,,6,75,,,,11100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06075011100,,,247102,0,4844,4844,50772.16,0.09540662,4844,2558,2286,4844,247,35,0,0,212,1675,988,628,324,404,213,118,4844,3291,259,0,1054,0,98,142,3066,555,438,117,71,46,2511,1340,1171,100500,3370,3066,328,2738,4834,488,455,943,3891
6075011200,"Census Tract 112, San Francisco County, California","Census Tract 112, San Francisco County, California",ca,140,0,ACSSF,8995,,,,,6,75,,,,11200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06075011200,,,177415,0,3378,3378,49313.64,0.068500317,3378,1529,1849,3378,9,56,76,54,205,815,379,529,391,441,253,170,3378,2019,130,5,1105,0,25,94,1920,640,536,104,39,65,1280,485,795,103750,2348,1920,605,1315,3378,344,310,654,2724
6075011300,"Census Tract 113, San Francisco County, California","Census Tract 113, San Francisco County, California",ca,140,0,ACSSF,8996,,,,,6,75,,,,11300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06075011300,,,102299,0,2907,2907,73598.91,0.039497866,2907,1403,1504,2907,86,44,95,59,202,435,254,317,428,270,415,302,2907,610,68,19,2147,0,8,55,1524,688,597,91,40,51,836,309,527,37159,1676,1524,173,1351,2875,398,1046,1444,1431
6075011700,"Census Tract 117, San Francisco County, California","Census Tract 117, San Francisco County, California",ca,140,0,ACSSF,8997,,,,,6,75,,,,11700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06075011700,,,551749,0,1704,1704,7998.817,0.213031489,1704,935,769,1704,55,19,20,0,115,420,255,329,212,122,151,6,1704,601,73,0,819,0,151,60,1021,325,285,40,22,18,696,452,244,52371,1350,1021,59,962,1650,260,343,603,1047
6075011800,"Census Tract 118, San Francisco County, California","Census Tract 118, San Francisco County, California",ca,140,0,ACSSF,8998,,,,,6,75,,,,11800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06075011800,,,56564,0,1558,1558,71338.69,0.021839483,1558,794,764,1558,43,19,65,10,143,259,124,252,239,130,168,106,1558,183,1,10,1358,0,0,6,713,372,231,141,43,98,341,182,159,23512,783,713,6,707,1558,447,476,923,635
6075011901,"Census Tract 119.01, San Francisco County, California","Census Tract 119.01, San Francisco County, California",ca,140,0,ACSSF,8999,,,,,6,75,,,,11901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06075011901,,,62294,0,2613,2613,108640.3,0.024051849,2613,1347,1266,2613,0,0,24,68,440,800,339,253,327,230,109,23,2613,1498,39,34,817,0,137,88,1515,353,293,60,58,2,1162,573,589,72038,1729,1515,468,1047,2325,272,257,529,1796
6075011902,"Census Tract 119.02, San Francisco County, California","Census Tract 119.02, San Francisco County, California",ca,140,0,ACSSF,9000,,,,,6,75,,,,11902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06075011902,,,93053,0,2825,2825,78629.55,0.035927966,2825,1446,1379,2825,56,25,38,31,235,1028,523,375,171,206,110,27,2825,1537,75,0,877,17,192,127,1759,325,226,99,51,48,1434,746,688,84735,1984,1759,110,1649,2825,347,414,761,2064
6075012000,"Census Tract 120, San Francisco County, California","Census Tract 120, San Francisco County, California",ca,140,0,ACSSF,9001,,,,,6,75,,,,12000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06075012000,,,125229,0,3951,3951,81714.64,0.048351189,3951,2380,1571,3951,71,44,40,40,404,1282,540,445,701,197,170,17,3951,1730,189,72,1449,0,226,285,2465,634,469,165,79,86,1831,1201,630,39957,2819,2465,77,2388,3917,830,875,1705,2212
6075012100,"Census Tract 121, San Francisco County, California","Census Tract 121, San Francisco County, California",ca,140,0,ACSSF,9002,,,,,6,75,,,,12100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06075012100,,,123394,0,4062,4062,85259.66,0.047642692,4062,1874,2188,4062,85,3,8,24,1007,1613,494,334,228,137,112,17,4062,2445,133,13,1086,0,159,226,2139,368,331,37,0,37,1771,792,979,73521,2303,2139,142,1997,3424,607,342,949,2475
