GEOID,Name of Area,Qualifying Name,State/U.S.-Abbreviation (USPS),Summary Level,Geographic Component,File Identification,Logical Record Number,US,Region,Division,State (Census Code),State (FIPS),County,County Subdivision (FIPS),Place (FIPS Code),Place (State FIPS + Place FIPS),Census Tract,Block Group,Consolidated City,American Indian Area/Alaska Native Area/Hawaiian Home Land (Census),American Indian Area/Alaska Native Area/Hawaiian Home Land (FIPS),American Indian Trust Land/Hawaiian Home Land Indicator,American Indian Tribal Subdivision (Census),American Indian Tribal Subdivision (FIPS),Alaska Native Regional Corporation (FIPS),Metropolitan and Micropolitan Statistical Area,Combined Statistical Area,Metropolitan Division,Metropolitan Area Central City,Metropolitan/Micropolitan Indicator Flag,New England City and Town Combined Statistical Area,New England City and Town Area,New England City and Town Area Division,Urban Area,Urban Area Central Place,Current Congressional District ***,State Legislative District Upper,State Legislative District Lower,Voting District,ZIP Code Tabulation Area (3-digit),ZIP Code Tabulation Area (5-digit),Subbarrio (FIPS),School District (Elementary),School District (Secondary),School District (Unified),Urban/Rural,Principal City Indicator,Traffic Analysis Zone,Urban Growth Area,Public Use Microdata Area - 5% File,Public Use Microdata Area - 1% File,Geographic Identifier,Tribal Tract,Tribal Block Group,Area (Land),Area (Water),Total Population,Total Population.1,Population Density (Per Sq. Mile),Area (Land).1,Total Population:,Total Population: Male,Total Population: Female,Total Population:.1,Total Population: Under 5 Years,Total Population: 5 to 9 Years,Total Population: 10 to 14 Years,Total Population: 15 to 17 Years,Total Population: 18 to 24 Years,Total Population: 25 to 34 Years,Total Population: 35 to 44 Years,Total Population: 45 to 54 Years,Total Population: 55 to 64 Years,Total Population: 65 to 74 Years,Total Population: 75 to 84 Years,Total Population: 85 Years and Over,Total Population:.2,Total Population: White Alone,Total Population: Black or African American Alone,Total Population: American Indian and Alaska Native Alone,Total Population: Asian Alone,Total Population: Native Hawaiian and Other Pacific Islander Alone,Total Population: Some Other Race Alone,Total Population: Two or More Races,Households:,Households: Family Households,Households: Family Households: Married-Couple Family,Households: Family Households: Other Family,"Households: Family Households: Other Family: Male Householder, No Wife Present","Households: Family Households: Other Family: Female Householder, No Husband Present",Households: Nonfamily Households,Households: Nonfamily Households: Male Householder,Households: Nonfamily Households: Female Householder,Median Household Income (In 2017 Inflation Adjusted Dollars),Housing Units,Occupied Housing Units:,Occupied Housing Units: Owner Occupied,Occupied Housing Units: Renter Occupied,Population for Whom Poverty Status Is Determined:,Population for Whom Poverty Status Is Determined: Under 1.00 (Doing Poorly),Population for Whom Poverty Status Is Determined: 1.00 to 1.99 (Struggling),Population for Whom Poverty Status Is Determined: Under 2.00 (Poor or Struggling),Population for Whom Poverty Status Is Determined: 2.00 and Over (Doing Ok)
32005002400,"Census Tract 24, Douglas County, Nevada","Census Tract 24, Douglas County, Nevada",nv,140,0,ACSSF,832,,,,,32,5,,,,2400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US32005002400,,,369154758,1180533,1868,1868,13.10588,142.531452655379,1868,1000,868,1868,82,137,171,123,124,149,259,211,219,274,107,12,1868,1027,10,490,33,0,228,80,687,475,296,179,37,142,212,116,96,43021.0,763,687,503,184,1814,494,383,877,937
32005002500,"Census Tract 25, Douglas County, Nevada","Census Tract 25, Douglas County, Nevada",nv,140,0,ACSSF,833,,,,,32,5,,,,2500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US32005002500,,,303184907,4093239,1804,1804,15.41085,117.060347769951,1804,957,847,1804,72,60,59,31,71,169,116,258,406,305,223,34,1804,1601,12,30,9,5,59,88,864,523,424,99,55,44,341,179,162,46481.0,1004,864,684,180,1804,254,431,685,1119
32005990000,"Census Tract 9900, Douglas County, Nevada","Census Tract 9900, Douglas County, Nevada",nv,140,0,ACSSF,834,,,,,32,5,,,,990000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US32005990000,,,0,63376813,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
32031000101,"Census Tract 1.01, Washoe County, Nevada","Census Tract 1.01, Washoe County, Nevada",nv,140,0,ACSSF,882,,,,,32,31,,,,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US32031000101,,,1427477,0,3123,3123,5666.314,0.5511519744493021,3123,1767,1356,3123,65,36,36,0,334,560,251,515,622,525,157,22,3123,2313,146,30,261,24,144,205,2185,395,312,83,15,68,1790,1145,645,27213.0,2582,2185,432,1753,3113,972,680,1652,1461
32031000102,"Census Tract 1.02, Washoe County, Nevada","Census Tract 1.02, Washoe County, Nevada",nv,140,0,ACSSF,883,,,,,32,31,,,,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US32031000102,,,2495518,0,2755,2755,2859.2929999999997,0.963524927528622,2755,1757,998,2755,28,106,24,32,188,448,290,573,594,321,119,32,2755,2103,260,104,82,30,84,92,1630,297,148,149,79,70,1333,950,383,18539.0,2186,1630,83,1547,2755,1168,862,2030,725
32031000201,"Census Tract 2.01, Washoe County, Nevada","Census Tract 2.01, Washoe County, Nevada",nv,140,0,ACSSF,884,,,,,32,31,,,,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US32031000201,,,1075443,0,3271,3271,7877.545,0.41523088137860104,3271,1637,1634,3271,308,323,125,160,357,454,430,608,242,135,103,26,3271,2242,72,96,55,25,733,48,1241,717,426,291,124,167,524,252,272,27739.0,1383,1241,406,835,3263,1004,1128,2132,1131
32031000202,"Census Tract 2.02, Washoe County, Nevada","Census Tract 2.02, Washoe County, Nevada",nv,140,0,ACSSF,885,,,,,32,31,,,,202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US32031000202,,,826399,0,2928,2928,9176.542,0.31907445131019896,2928,1478,1450,2928,153,51,216,10,183,796,401,398,396,250,59,15,2928,2501,51,111,80,97,37,51,1521,459,197,262,109,153,1062,591,471,25607.0,1674,1521,65,1456,2922,858,883,1741,1181
32031000300,"Census Tract 3, Washoe County, Nevada","Census Tract 3, Washoe County, Nevada",nv,140,0,ACSSF,886,,,,,32,31,,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US32031000300,,,1519771,0,3596,3596,6128.29,0.586786888587901,3596,2027,1569,3596,58,157,35,54,336,1084,423,557,356,398,59,79,3596,3254,10,16,164,16,77,59,2255,554,313,241,148,93,1701,918,783,36361.0,2313,2255,549,1706,3596,480,961,1441,2155
32031000400,"Census Tract 4, Washoe County, Nevada","Census Tract 4, Washoe County, Nevada",nv,140,0,ACSSF,887,,,,,32,31,,,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US32031000400,,,3038402,0,5309,5309,4525.486,1.17313362069631,5309,2673,2636,5309,286,173,279,234,322,758,800,612,726,701,274,144,5309,5067,31,59,40,0,16,96,2581,1217,864,353,121,232,1364,760,604,63836.0,2731,2581,1547,1034,5309,564,471,1035,4274
32031000700,"Census Tract 7, Washoe County, Nevada","Census Tract 7, Washoe County, Nevada",nv,140,0,ACSSF,888,,,,,32,31,,,,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US32031000700,,,2275979,0,5212,5212,5931.081999999999,0.8787604421333229,5212,2354,2858,5212,232,243,204,178,572,871,697,660,806,504,144,101,5212,3592,15,236,621,16,546,186,2587,804,377,427,35,392,1783,925,858,35476.0,2910,2587,709,1878,5131,847,1615,2462,2669
