GEOID,Name of Area,Qualifying Name,State/U.S.-Abbreviation (USPS),Summary Level,Geographic Component,File Identification,Logical Record Number,US,Region,Division,State (Census Code),State (FIPS),County,County Subdivision (FIPS),Place (FIPS Code),Place (State FIPS + Place FIPS),Census Tract,Block Group,Consolidated City,American Indian Area/Alaska Native Area/Hawaiian Home Land (Census),American Indian Area/Alaska Native Area/Hawaiian Home Land (FIPS),American Indian Trust Land/Hawaiian Home Land Indicator,American Indian Tribal Subdivision (Census),American Indian Tribal Subdivision (FIPS),Alaska Native Regional Corporation (FIPS),Metropolitan and Micropolitan Statistical Area,Combined Statistical Area,Metropolitan Division,Metropolitan Area Central City,Metropolitan/Micropolitan Indicator Flag,New England City and Town Combined Statistical Area,New England City and Town Area,New England City and Town Area Division,Urban Area,Urban Area Central Place,Current Congressional District ***,State Legislative District Upper,State Legislative District Lower,Voting District,ZIP Code Tabulation Area (3-digit),ZIP Code Tabulation Area (5-digit),Subbarrio (FIPS),School District (Elementary),School District (Secondary),School District (Unified),Urban/Rural,Principal City Indicator,Traffic Analysis Zone,Urban Growth Area,Public Use Microdata Area - 5% File,Public Use Microdata Area - 1% File,Geographic Identifier,Tribal Tract,Tribal Block Group,Area (Land),Area (Water),Total Population,Total Population.1,Population Density (Per Sq. Mile),Area (Land).1,Total Population:,Total Population: Male,Total Population: Female,Total Population:.1,Total Population: Under 5 Years,Total Population: 5 to 9 Years,Total Population: 10 to 14 Years,Total Population: 15 to 17 Years,Total Population: 18 to 24 Years,Total Population: 25 to 34 Years,Total Population: 35 to 44 Years,Total Population: 45 to 54 Years,Total Population: 55 to 64 Years,Total Population: 65 to 74 Years,Total Population: 75 to 84 Years,Total Population: 85 Years and Over,Total Population:.2,Total Population: White Alone,Total Population: Black or African American Alone,Total Population: American Indian and Alaska Native Alone,Total Population: Asian Alone,Total Population: Native Hawaiian and Other Pacific Islander Alone,Total Population: Some Other Race Alone,Total Population: Two or More Races,Households:,Households: Family Households,Households: Family Households: Married-Couple Family,Households: Family Households: Other Family,"Households: Family Households: Other Family: Male Householder, No Wife Present","Households: Family Households: Other Family: Female Householder, No Husband Present",Households: Nonfamily Households,Households: Nonfamily Households: Male Householder,Households: Nonfamily Households: Female Householder,Median Household Income (In 2017 Inflation Adjusted Dollars),Housing Units,Occupied Housing Units:,Occupied Housing Units: Owner Occupied,Occupied Housing Units: Renter Occupied,Population for Whom Poverty Status Is Determined:,Population for Whom Poverty Status Is Determined: Under 1.00 (Doing Poorly),Population for Whom Poverty Status Is Determined: 1.00 to 1.99 (Struggling),Population for Whom Poverty Status Is Determined: Under 2.00 (Poor or Struggling),Population for Whom Poverty Status Is Determined: 2.00 and Over (Doing Ok)
32031001101,"Census Tract 11.01, Washoe County, Nevada","Census Tract 11.01, Washoe County, Nevada",nv,140,0,ACSSF,899,,,,,32,31,,,,1101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US32031001101,,,1612007,0,2895,2895,4651.354,0.6223994088003499,2895,1332,1563,2895,173,139,175,74,199,372,291,423,355,426,193,75,2895,2645,35,2,69,0,81,63,1348,683,552,131,70,61,665,256,409,70988.0,1493,1348,975,373,2867,219,302,521,2346
32031001103,"Census Tract 11.03, Washoe County, Nevada","Census Tract 11.03, Washoe County, Nevada",nv,140,0,ACSSF,900,,,,,32,31,,,,1103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US32031001103,,,11935468,36610,5240,5240,1137.076,4.60831015433276,5240,2409,2831,5240,151,307,251,291,119,320,521,769,985,806,500,220,5240,4638,79,42,292,0,20,169,2176,1561,1401,160,49,111,615,166,449,120326.0,2231,2176,1955,221,5240,354,383,737,4503
32031001104,"Census Tract 11.04, Washoe County, Nevada","Census Tract 11.04, Washoe County, Nevada",nv,140,0,ACSSF,901,,,,,32,31,,,,1104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US32031001104,,,3995320,0,4729,4729,3065.6,1.5426017417841298,4729,2264,2465,4729,191,194,259,201,230,634,431,660,739,675,359,156,4729,4320,20,11,218,9,11,140,1933,1395,1174,221,101,120,538,273,265,98908.0,1992,1933,1640,293,4729,108,336,444,4285
32031001105,"Census Tract 11.05, Washoe County, Nevada","Census Tract 11.05, Washoe County, Nevada",nv,140,0,ACSSF,902,,,,,32,31,,,,1105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US32031001105,,,4160140,0,3838,3838,2389.433,1.6062391022661102,3838,1792,2046,3838,105,214,241,185,164,212,348,494,750,704,296,125,3838,3560,11,0,224,1,0,42,1661,1161,989,172,47,125,500,181,319,104176.0,1681,1661,1477,184,3838,128,137,265,3573
32031001201,"Census Tract 12.01, Washoe County, Nevada","Census Tract 12.01, Washoe County, Nevada",nv,140,0,ACSSF,903,,,,,32,31,,,,1201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US32031001201,,,4599286,0,2542,2542,1431.4720000000002,1.7757943280046102,2542,1266,1276,2542,97,104,159,17,321,496,305,489,226,220,88,20,2542,2149,156,31,81,24,71,30,1391,549,391,158,80,78,842,453,389,43110.0,1545,1391,486,905,2528,492,363,855,1673
32031001202,"Census Tract 12.02, Washoe County, Nevada","Census Tract 12.02, Washoe County, Nevada",nv,140,0,ACSSF,904,,,,,32,31,,,,1202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US32031001202,,,2073472,0,5119,5119,6394.178000000001,0.800572048982466,5119,2458,2661,5119,413,273,262,159,572,1220,531,784,488,174,97,146,5119,3498,131,230,265,1,537,457,2464,1049,489,560,162,398,1415,758,657,36611.0,2632,2464,436,2028,5051,1182,1460,2642,2409
32031001300,"Census Tract 13, Washoe County, Nevada","Census Tract 13, Washoe County, Nevada",nv,140,0,ACSSF,905,,,,,32,31,,,,1300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US32031001300,,,1588802,0,3622,3622,5904.409000000001,0.6134399078296889,3622,2009,1613,3622,256,136,62,109,586,516,423,381,575,375,146,57,3622,3175,39,18,184,25,124,57,1401,715,501,214,114,100,686,428,258,55898.0,1498,1401,838,563,3596,614,626,1240,2356
32031001400,"Census Tract 14, Washoe County, Nevada","Census Tract 14, Washoe County, Nevada",nv,140,0,ACSSF,906,,,,,32,31,,,,1400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US32031001400,,,997967,0,3283,3283,8520.252,0.385317229269016,3283,1428,1855,3283,106,67,0,34,1515,525,273,264,227,143,100,29,3283,2469,38,105,290,5,226,150,1259,335,206,129,26,103,924,492,432,36094.0,1424,1259,344,915,3153,1065,896,1961,1192
32031001501,"Census Tract 15.01, Washoe County, Nevada","Census Tract 15.01, Washoe County, Nevada",nv,140,0,ACSSF,907,,,,,32,31,,,,1501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US32031001501,,,3678260,0,4709,4709,3315.7670000000003,1.42018418618156,4709,2085,2624,4709,160,306,257,146,1010,756,386,572,490,407,158,61,4709,3672,48,10,402,0,367,210,1736,968,739,229,29,200,768,311,457,50171.0,1841,1736,882,854,4709,1134,865,1999,2710
32031001502,"Census Tract 15.02, Washoe County, Nevada","Census Tract 15.02, Washoe County, Nevada",nv,140,0,ACSSF,908,,,,,32,31,,,,1502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US32031001502,,,3061469,0,6482,6482,5483.741,1.1820398395668201,6482,3574,2908,6482,466,362,166,240,2639,918,442,548,251,352,50,48,6482,4836,427,67,487,157,197,311,1942,662,282,380,29,351,1280,848,432,25888.0,2207,1942,403,1539,4682,1505,1684,3189,1493
32031001701,"Census Tract 17.01, Washoe County, Nevada","Census Tract 17.01, Washoe County, Nevada",nv,140,0,ACSSF,909,,,,,32,31,,,,1701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US32031001701,,,1303972,0,4050,4050,8044.23,0.503466425327067,4050,2178,1872,4050,329,544,386,137,510,543,391,716,279,133,67,15,4050,2265,315,44,55,278,729,364,1334,772,346,426,89,337,562,341,221,30089.0,1417,1334,394,940,4050,1265,1383,2648,1402
32031001702,"Census Tract 17.02, Washoe County, Nevada","Census Tract 17.02, Washoe County, Nevada",nv,140,0,ACSSF,910,,,,,32,31,,,,1702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US32031001702,,,2565911,0,5537,5537,5588.956,0.990703817932747,5537,2616,2921,5537,463,296,342,248,640,1061,520,664,591,380,255,77,5537,3744,263,13,417,64,775,261,2214,1319,699,620,77,543,895,442,453,45977.0,2300,2214,884,1330,5440,1130,1218,2348,3092
32031001801,"Census Tract 18.01, Washoe County, Nevada","Census Tract 18.01, Washoe County, Nevada",nv,140,0,ACSSF,911,,,,,32,31,,,,1801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US32031001801,,,888556,0,3731,3731,10875.22,0.343073404201101,3731,1737,1994,3731,260,400,412,181,194,463,549,336,381,293,144,118,3731,1642,200,83,510,0,837,459,1119,673,354,319,1,318,446,189,257,29969.0,1232,1119,497,622,3699,1347,931,2278,1421
32031001802,"Census Tract 18.02, Washoe County, Nevada","Census Tract 18.02, Washoe County, Nevada",nv,140,0,ACSSF,912,,,,,32,31,,,,1802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US32031001802,,,876202,43436,3183,3183,9408.712,0.338303497931265,3183,1552,1631,3183,238,170,361,185,394,419,443,242,290,243,122,76,3183,2156,54,48,129,0,679,117,1162,583,464,119,79,40,579,255,324,27438.0,1291,1162,312,850,3183,631,907,1538,1645
32031001901,"Census Tract 19.01, Washoe County, Nevada","Census Tract 19.01, Washoe County, Nevada",nv,140,0,ACSSF,913,,,,,32,31,,,,1901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US32031001901,,,1053624,0,4376,4376,10756.96,0.406806518022477,4376,2307,2069,4376,498,296,149,70,485,633,545,542,695,293,147,23,4376,2862,233,197,87,36,842,119,2013,890,406,484,102,382,1123,755,368,29516.0,2124,2013,471,1542,4331,1040,1633,2673,1658
32031001902,"Census Tract 19.02, Washoe County, Nevada","Census Tract 19.02, Washoe County, Nevada",nv,140,0,ACSSF,914,,,,,32,31,,,,1902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US32031001902,,,1568217,0,5144,5144,8495.57,0.605491994557504,5144,2824,2320,5144,446,185,267,84,593,915,454,685,613,488,286,128,5144,4126,109,65,150,0,504,190,2305,1191,619,572,182,390,1114,625,489,32172.0,2502,2305,231,2074,5050,1238,1750,2988,2062
32031002103,"Census Tract 21.03, Washoe County, Nevada","Census Tract 21.03, Washoe County, Nevada",nv,140,0,ACSSF,915,,,,,32,31,,,,2103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US32031002103,,,23639141,14478,2670,2670,292.5347,9.12712336891136,2670,1326,1344,2670,183,87,129,63,113,290,285,220,648,451,179,22,2670,2278,22,0,179,25,23,143,1160,822,724,98,59,39,338,178,160,70451.0,1195,1160,852,308,2667,213,417,630,2037
32031002104,"Census Tract 21.04, Washoe County, Nevada","Census Tract 21.04, Washoe County, Nevada",nv,140,0,ACSSF,916,,,,,32,31,,,,2104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US32031002104,,,7812204,5341,3173,3173,1051.948,3.01630895587161,3173,1503,1670,3173,119,145,167,61,197,418,165,293,676,538,306,88,3173,2756,14,0,161,0,193,49,1423,819,580,239,106,133,604,187,417,66719.0,1509,1423,1174,249,3144,310,317,627,2517
32031002105,"Census Tract 21.05, Washoe County, Nevada","Census Tract 21.05, Washoe County, Nevada",nv,140,0,ACSSF,917,,,,,32,31,,,,2105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US32031002105,,,1611099,0,5010,5010,8054.03,0.622048828025458,5010,2913,2097,5010,346,323,245,139,385,1118,642,591,678,334,160,49,5010,4244,76,33,282,0,175,200,2081,1126,812,314,108,206,955,546,409,58194.0,2225,2081,671,1410,4975,454,1093,1547,3428
32031002106,"Census Tract 21.06, Washoe County, Nevada","Census Tract 21.06, Washoe County, Nevada",nv,140,0,ACSSF,918,,,,,32,31,,,,2106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US32031002106,,,1190215,0,3565,3565,7757.68,0.459544600206642,3565,1789,1776,3565,309,261,202,90,286,475,377,457,452,367,252,37,3565,2608,70,29,227,0,579,52,1214,848,591,257,140,117,366,148,218,59856.0,1287,1214,897,317,3554,450,798,1248,2306
32031002107,"Census Tract 21.07, Washoe County, Nevada","Census Tract 21.07, Washoe County, Nevada",nv,140,0,ACSSF,919,,,,,32,31,,,,2107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US32031002107,,,2374870,127559,1906,1906,2078.647,0.9169424723203349,1906,1088,818,1906,138,140,49,56,204,327,254,249,222,164,75,28,1906,1210,86,471,18,9,64,48,696,338,183,155,61,94,358,267,91,33750.0,780,696,261,435,1869,532,477,1009,860
32031002204,"Census Tract 22.04, Washoe County, Nevada","Census Tract 22.04, Washoe County, Nevada",nv,140,0,ACSSF,920,,,,,32,31,,,,2204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US32031002204,,,4040248,0,5264,5264,3374.47,1.55994854030212,5264,2741,2523,5264,598,546,177,256,449,904,719,643,570,295,85,22,5264,3124,343,9,396,230,959,203,1989,1202,653,549,213,336,787,464,323,40098.0,2150,1989,628,1361,5264,1030,1753,2783,2481
32031002205,"Census Tract 22.05, Washoe County, Nevada","Census Tract 22.05, Washoe County, Nevada",nv,140,0,ACSSF,921,,,,,32,31,,,,2205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US32031002205,,,4714360,0,4786,4786,2629.3459999999995,1.8202246496895,4786,2427,2359,4786,255,268,252,126,589,1104,688,390,598,197,280,39,4786,4032,17,54,232,0,278,173,2310,1014,493,521,260,261,1296,703,593,43770.0,2487,2310,661,1649,4768,685,813,1498,3270
32031002206,"Census Tract 22.06, Washoe County, Nevada","Census Tract 22.06, Washoe County, Nevada",nv,140,0,ACSSF,922,,,,,32,31,,,,2206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US32031002206,,,8402273,184664,7158,7158,2206.4429999999998,3.2441358801662403,7158,3500,3658,7158,550,516,468,266,433,1214,1042,673,809,615,449,123,7158,5829,75,25,702,99,131,297,2872,1855,1367,488,224,264,1017,603,414,75561.0,3265,2872,1458,1414,7137,720,892,1612,5525
32031002207,"Census Tract 22.07, Washoe County, Nevada","Census Tract 22.07, Washoe County, Nevada",nv,140,0,ACSSF,923,,,,,32,31,,,,2207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US32031002207,,,5431081,0,5255,5255,2506.018,2.09695218665106,5255,2523,2732,5255,412,351,438,94,287,1057,771,553,603,479,155,55,5255,4103,174,61,642,25,40,210,1876,1372,1102,270,137,133,504,230,274,97969.0,1934,1876,1379,497,5255,256,281,537,4718
32031002208,"Census Tract 22.08, Washoe County, Nevada","Census Tract 22.08, Washoe County, Nevada",nv,140,0,ACSSF,924,,,,,32,31,,,,2208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US32031002208,,,3245610,0,2927,2927,2335.738,1.2531370801718,2927,1405,1522,2927,203,94,110,103,134,480,406,504,247,325,222,99,2927,2342,46,19,245,4,42,229,1395,734,632,102,9,93,661,319,342,92188.0,1720,1395,665,730,2917,133,203,336,2581
32031002209,"Census Tract 22.09, Washoe County, Nevada","Census Tract 22.09, Washoe County, Nevada",nv,140,0,ACSSF,925,,,,,32,31,,,,2209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US32031002209,,,7017195,0,6959,6959,2568.509,2.70935425183437,6959,3438,3521,6959,493,521,763,383,187,1104,1190,1152,582,417,146,21,6959,5562,52,0,788,0,178,379,2390,1865,1554,311,99,212,525,307,218,99500.0,2550,2390,1777,613,6959,187,969,1156,5803
32031002210,"Census Tract 22.10, Washoe County, Nevada","Census Tract 22.10, Washoe County, Nevada",nv,140,0,ACSSF,926,,,,,32,31,,,,2210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US32031002210,,,33014342,0,2738,2738,214.7972,12.7469092520892,2738,1284,1454,2738,135,207,193,103,148,151,411,346,522,403,92,27,2738,2359,45,0,72,37,6,219,985,821,721,100,31,69,164,58,106,102250.0,1059,985,879,106,2725,89,205,294,2431
32031002211,"Census Tract 22.11, Washoe County, Nevada","Census Tract 22.11, Washoe County, Nevada",nv,140,0,ACSSF,927,,,,,32,31,,,,2211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US32031002211,,,1912952,0,3852,3852,5215.308,0.738594927852948,3852,1986,1866,3852,520,261,281,169,463,737,576,329,315,106,52,43,3852,3109,28,0,74,20,484,137,1326,863,470,393,138,255,463,268,195,33333.0,1517,1326,287,1039,3845,820,1721,2541,1304
32031002212,"Census Tract 22.12, Washoe County, Nevada","Census Tract 22.12, Washoe County, Nevada",nv,140,0,ACSSF,928,,,,,32,31,,,,2212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US32031002212,,,1022504,0,4910,4910,12436.96,0.394791018336765,4910,2777,2133,4910,632,726,330,221,489,839,664,431,357,137,70,14,4910,3310,87,50,348,0,1002,113,1605,993,501,492,105,387,612,432,180,28604.0,1747,1605,183,1422,4899,2086,1566,3652,1247
32031002301,"Census Tract 23.01, Washoe County, Nevada","Census Tract 23.01, Washoe County, Nevada",nv,140,0,ACSSF,929,,,,,32,31,,,,2301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US32031002301,,,26546388,0,5917,5917,577.2898,10.2496181449489,5917,2798,3119,5917,292,222,283,238,199,379,506,812,1098,1410,358,120,5917,5592,29,0,270,0,0,26,2576,1843,1708,135,57,78,733,227,506,95528.0,2672,2576,2279,297,5917,99,248,347,5570
32031002302,"Census Tract 23.02, Washoe County, Nevada","Census Tract 23.02, Washoe County, Nevada",nv,140,0,ACSSF,930,,,,,32,31,,,,2302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US32031002302,,,42906227,624227,2321,2321,140.1046,16.56618795145,2321,1090,1231,2321,142,90,129,49,85,309,242,255,581,284,147,8,2321,2142,6,19,116,0,6,32,976,681,555,126,57,69,295,136,159,69167.0,1078,976,775,201,2321,104,174,278,2043
32031002401,"Census Tract 24.01, Washoe County, Nevada","Census Tract 24.01, Washoe County, Nevada",nv,140,0,ACSSF,931,,,,,32,31,,,,2401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US32031002401,,,2358005,53792,3584,3584,3936.598,0.9104308591391159,3584,1777,1807,3584,127,169,227,109,418,588,362,520,432,515,82,35,3584,2887,59,11,286,190,57,94,1338,768,612,156,70,86,570,335,235,74615.0,1469,1338,1044,294,3584,512,573,1085,2499
32031002406,"Census Tract 24.06, Washoe County, Nevada","Census Tract 24.06, Washoe County, Nevada",nv,140,0,ACSSF,932,,,,,32,31,,,,2406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US32031002406,,,2207162,0,5278,5278,6193.454000000001,0.852190048756983,5278,2754,2524,5278,328,286,221,193,973,942,609,458,549,323,313,83,5278,4157,85,61,225,0,339,411,1987,966,607,359,111,248,1021,440,581,49767.0,2069,1987,1053,934,5267,952,1100,2052,3215
32031002407,"Census Tract 24.07, Washoe County, Nevada","Census Tract 24.07, Washoe County, Nevada",nv,140,0,ACSSF,933,,,,,32,31,,,,2407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US32031002407,,,2257536,336,4410,4410,5059.431,0.871639559719968,4410,2121,2289,4410,266,233,303,98,760,817,604,649,318,210,126,26,4410,3385,28,120,577,17,46,237,1623,1057,760,297,122,175,566,240,326,63155.0,1691,1623,771,852,4410,860,597,1457,2953
32031002408,"Census Tract 24.08, Washoe County, Nevada","Census Tract 24.08, Washoe County, Nevada",nv,140,0,ACSSF,934,,,,,32,31,,,,2408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US32031002408,,,1964517,0,3106,3106,4094.901,0.758504286506347,3106,1410,1696,3106,178,154,198,132,230,470,454,510,407,186,110,77,3106,2386,27,74,338,0,115,166,1141,767,620,147,28,119,374,204,170,84050.0,1255,1141,734,407,3106,112,231,343,2763
32031002409,"Census Tract 24.09, Washoe County, Nevada","Census Tract 24.09, Washoe County, Nevada",nv,140,0,ACSSF,935,,,,,32,31,,,,2409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US32031002409,,,6342986,0,4744,4744,1937.085,2.44904069053602,4744,2240,2504,4744,210,315,462,213,404,563,813,608,625,454,66,11,4744,3929,117,60,388,0,26,224,1661,1258,1047,211,63,148,403,192,211,86051.0,1731,1661,1193,468,4711,154,510,664,4047
32031002410,"Census Tract 24.10, Washoe County, Nevada","Census Tract 24.10, Washoe County, Nevada",nv,140,0,ACSSF,936,,,,,32,31,,,,2410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US32031002410,,,1719596,0,4023,4023,6059.285,0.663939755705432,4023,2081,1942,4023,191,242,299,86,275,853,663,641,374,296,85,18,4023,2856,73,72,429,36,310,247,1884,922,600,322,52,270,962,627,335,51975.0,2063,1884,496,1388,4023,520,696,1216,2807
32031002411,"Census Tract 24.11, Washoe County, Nevada","Census Tract 24.11, Washoe County, Nevada",nv,140,0,ACSSF,937,,,,,32,31,,,,2411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US32031002411,,,2426962,0,4567,4567,4873.778,0.9370553068199541,4567,2402,2165,4567,394,438,364,115,525,819,492,427,606,277,90,20,4567,3622,91,0,432,0,368,54,1681,1147,853,294,76,218,534,265,269,61899.0,1748,1681,756,925,4526,661,449,1110,3416
32031002412,"Census Tract 24.12, Washoe County, Nevada","Census Tract 24.12, Washoe County, Nevada",nv,140,0,ACSSF,938,,,,,32,31,,,,2412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US32031002412,,,6298837,75300,2913,2913,1197.782,2.43199466561235,2913,1530,1383,2913,217,191,237,95,258,306,352,412,517,227,59,42,2913,2174,50,28,373,53,106,129,878,725,644,81,18,63,153,64,89,96607.0,918,878,739,139,2913,148,216,364,2549
32031002500,"Census Tract 25, Washoe County, Nevada","Census Tract 25, Washoe County, Nevada",nv,140,0,ACSSF,939,,,,,32,31,,,,2500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US32031002500,,,4980012,19955,4950,4950,2574.379,1.9227934646801499,4950,2700,2250,4950,183,225,193,94,933,1165,429,425,677,315,208,103,4950,4246,172,3,363,0,18,148,2026,1131,937,194,100,94,895,510,385,60259.0,2177,2026,1088,938,4943,810,643,1453,3490
32031002603,"Census Tract 26.03, Washoe County, Nevada","Census Tract 26.03, Washoe County, Nevada",nv,140,0,ACSSF,940,,,,,32,31,,,,2603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US32031002603,,,15301556,1973899,1651,1651,279.4533,5.907964052343099,1651,861,790,1651,105,107,122,60,118,113,171,255,292,284,24,0,1651,1518,0,11,18,0,24,80,570,465,452,13,0,13,105,74,31,89022.0,591,570,517,53,1646,65,111,176,1470
32031002610,"Census Tract 26.10, Washoe County, Nevada","Census Tract 26.10, Washoe County, Nevada",nv,140,0,ACSSF,941,,,,,32,31,,,,2610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US32031002610,,,4143451,17600,5871,5871,3669.844,1.5997954430676897,5871,3014,2857,5871,429,358,632,300,550,1082,717,935,436,254,140,38,5871,4812,342,18,141,2,349,207,1916,1433,993,440,174,266,483,331,152,55611.0,1976,1916,1392,524,5864,567,1475,2042,3822
32031002611,"Census Tract 26.11, Washoe County, Nevada","Census Tract 26.11, Washoe County, Nevada",nv,140,0,ACSSF,942,,,,,32,31,,,,2611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US32031002611,,,9447524,3321616,6283,6283,1722.451,3.6477095646775197,6283,3445,2838,6283,587,533,454,293,1003,1114,735,601,559,266,126,12,6283,4588,248,105,392,38,301,611,1684,1256,800,456,148,308,428,300,128,58833.0,1808,1684,1017,667,6283,1839,1142,2981,3302
32031002612,"Census Tract 26.12, Washoe County, Nevada","Census Tract 26.12, Washoe County, Nevada",nv,140,0,ACSSF,943,,,,,32,31,,,,2612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US32031002612,,,35987693,4519534,3828,3828,275.4962,13.894926154098,3828,1867,1961,3828,132,289,228,170,343,291,450,656,598,513,146,12,3828,3387,22,59,87,0,100,173,1362,966,849,117,24,93,396,195,201,68170.0,1586,1362,1211,151,3828,396,513,909,2919
32031002613,"Census Tract 26.13, Washoe County, Nevada","Census Tract 26.13, Washoe County, Nevada",nv,140,0,ACSSF,944,,,,,32,31,,,,2613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US32031002613,,,24447836,0,5790,5790,613.3889,9.4393626534177,5790,2884,2906,5790,476,520,501,257,361,904,962,673,695,324,117,0,5790,4904,98,48,173,9,39,519,1892,1465,1282,183,56,127,427,185,242,71359.0,1994,1892,1505,387,5759,342,866,1208,4551
32031002614,"Census Tract 26.14, Washoe County, Nevada","Census Tract 26.14, Washoe County, Nevada",nv,140,0,ACSSF,945,,,,,32,31,,,,2614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US32031002614,,,2401739,0,3896,3896,4201.37,0.9273166516601621,3896,2205,1691,3896,241,271,307,144,533,795,528,394,435,147,101,0,3896,2762,140,13,190,0,387,404,1464,939,533,406,22,384,525,377,148,49095.0,1580,1464,511,953,3896,408,980,1388,2508
32031002615,"Census Tract 26.15, Washoe County, Nevada","Census Tract 26.15, Washoe County, Nevada",nv,140,0,ACSSF,946,,,,,32,31,,,,2615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US32031002615,,,4376056,0,3607,3607,2134.819,1.68960473948142,3607,1806,1801,3607,247,237,292,67,340,505,725,473,402,170,102,47,3607,2388,119,66,264,52,300,418,1251,922,736,186,40,146,329,131,198,63958.0,1332,1251,793,458,3588,306,721,1027,2561
32031002616,"Census Tract 26.16, Washoe County, Nevada","Census Tract 26.16, Washoe County, Nevada",nv,140,0,ACSSF,947,,,,,32,31,,,,2616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US32031002616,,,1760379,0,4893,4893,7198.911,0.6796861607080811,4893,2415,2478,4893,411,281,356,274,509,672,561,875,570,248,94,42,4893,3504,79,38,317,19,765,171,1555,1083,653,430,122,308,472,274,198,47356.0,1610,1555,976,579,4835,583,1574,2157,2678
32031002617,"Census Tract 26.17, Washoe County, Nevada","Census Tract 26.17, Washoe County, Nevada",nv,140,0,ACSSF,948,,,,,32,31,,,,2617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US32031002617,,,10449576,0,6886,6886,1706.735,4.03460402133137,6886,3556,3330,6886,472,397,468,178,660,1457,1086,843,735,301,147,142,6886,5038,360,324,360,34,385,385,1799,1344,876,468,194,274,455,209,246,56866.0,1898,1799,1303,496,5573,627,1389,2016,3557
