"FIPS","Name of Area","Qualifying Name","State/U.S.-Abbreviation (USPS)","Summary Level","Geographic Component","File Identification","Logical Record Number","US","Region","Division","State (Census Code)","State (FIPS)","County","County Subdivision (FIPS)","Place (FIPS Code)","Place (State FIPS + Place FIPS)","Census Tract","Block Group","Consolidated City","American Indian Area/Alaska Native Area/Hawaiian Home Land (Census)","American Indian Area/Alaska Native Area/Hawaiian Home Land (FIPS)","American Indian Trust Land/Hawaiian Home Land Indicator","American Indian Tribal Subdivision (Census)","American Indian Tribal Subdivision (FIPS)","Alaska Native Regional Corporation (FIPS)","Metropolitan and Micropolitan Statistical Area","Combined Statistical Area","Metropolitan Division","Metropolitan Area Central City","Metropolitan/Micropolitan Indicator Flag","New England City and Town Combined Statistical Area","New England City and Town Area","New England City and Town Area Division","Urban Area","Urban Area Central Place","Current Congressional District ***","State Legislative District Upper","State Legislative District Lower","Voting District","ZIP Code Tabulation Area (3-digit)","ZIP Code Tabulation Area (5-digit)","Subbarrio (FIPS)","School District (Elementary)","School District (Secondary)","School District (Unified)","Urban/Rural","Principal City Indicator","Traffic Analysis Zone","Urban Growth Area","Public Use Microdata Area - 5% File","Public Use Microdata Area - 1% File","Geographic Identifier","Tribal Tract","Tribal Block Group","Area (Land)","Area (Water)","Total Population","Total Population","Population Density (Per Sq. Mile)","Area (Land)","Total Population:","Total Population: Male","Total Population: Female","Total Population:","Total Population: Under 5 Years","Total Population: 5 to 9 Years","Total Population: 10 to 14 Years","Total Population: 15 to 17 Years","Total Population: 18 to 24 Years","Total Population: 25 to 34 Years","Total Population: 35 to 44 Years","Total Population: 45 to 54 Years","Total Population: 55 to 64 Years","Total Population: 65 to 74 Years","Total Population: 75 to 84 Years","Total Population: 85 Years and Over","Total Population:","Total Population: White Alone","Total Population: Black or African American Alone","Total Population: American Indian and Alaska Native Alone","Total Population: Asian Alone","Total Population: Native Hawaiian and Other Pacific Islander Alone","Total Population: Some Other Race Alone","Total Population: Two or More Races","Households:","Households: Family Households","Households: Family Households: Married-Couple Family","Households: Family Households: Other Family","Households: Family Households: Other Family: Male Householder, No Wife Present","Households: Family Households: Other Family: Female Householder, No Husband Present","Households: Nonfamily Households","Households: Nonfamily Households: Male Householder","Households: Nonfamily Households: Female Householder","Median Household Income (In 2017 Inflation Adjusted Dollars)","Housing Units","Occupied Housing Units:","Occupied Housing Units: Owner Occupied","Occupied Housing Units: Renter Occupied","Population for Whom Poverty Status Is Determined:","Population for Whom Poverty Status Is Determined: Under 1.00 (Doing Poorly)","Population for Whom Poverty Status Is Determined: 1.00 to 1.99 (Struggling)","Population for Whom Poverty Status Is Determined: Under 2.00 (Poor or Struggling)","Population for Whom Poverty Status Is Determined: 2.00 and Over (Doing Ok)"
"08013012300","Census Tract 123, Boulder County, Colorado","Census Tract 123, Boulder County, Colorado","co","140","00","ACSSF","0001338",,,,,"08","013",,,,"012300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US08013012300",,,"1418922","8081",7038,7038,12846.61,0.547848870342256,7038,3729,3309,7038,110,44,27,69,5754,616,279,76,47,16,0,0,7038,5421,70,39,1308,17,56,127,707,240,212,28,14,14,467,292,175,37313,739,707,19,688,1587,564,311,875,712
"08013012401","Census Tract 124.01, Boulder County, Colorado","Census Tract 124.01, Boulder County, Colorado","co","140","00","ACSSF","0001339",,,,,"08","013",,,,"012401",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US08013012401",,,"1118145","0",6128,6128,14194.44,0.431718216455057,6128,3088,3040,6128,126,74,0,2,4823,291,247,214,194,104,15,38,6128,5568,163,0,52,0,73,272,1964,328,297,31,0,31,1636,902,734,19913,2161,1964,403,1561,5431,3442,673,4115,1316
"08013012501","Census Tract 125.01, Boulder County, Colorado","Census Tract 125.01, Boulder County, Colorado","co","140","00","ACSSF","0001340",,,,,"08","013",,,,"012501",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US08013012501",,,"3414183","24163",2601,2601,1973.11,1.31822348211652,2601,1388,1213,2601,50,82,115,48,484,614,259,232,332,255,95,35,2601,2290,29,0,150,0,49,83,1205,483,420,63,7,56,722,384,338,70781,1212,1205,602,603,2601,354,269,623,1978
"08013012505","Census Tract 125.05, Boulder County, Colorado","Census Tract 125.05, Boulder County, Colorado","co","140","00","ACSSF","0001341",,,,,"08","013",,,,"012505",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US08013012505",,,"15086668","10340",3948,3948,677.7688,5.82499532816368,3948,1959,1989,3948,218,266,215,113,323,412,542,513,689,325,231,101,3948,3477,0,9,232,0,82,148,1605,1007,906,101,39,62,598,332,266,109698,1795,1605,1161,444,3940,287,360,647,3293
"08013012507","Census Tract 125.07, Boulder County, Colorado","Census Tract 125.07, Boulder County, Colorado","co","140","00","ACSSF","0001342",,,,,"08","013",,,,"012507",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US08013012507",,,"1639187","0",4462,4462,7050.157,0.632893665916599,4462,2671,1791,4462,165,99,121,54,1615,920,559,322,291,170,45,101,4462,3874,59,6,262,13,19,229,1732,581,488,93,15,78,1151,597,554,60313,1812,1732,746,986,4457,1250,693,1943,2514
"08013012508","Census Tract 125.08, Boulder County, Colorado","Census Tract 125.08, Boulder County, Colorado","co","140","00","ACSSF","0001343",,,,,"08","013",,,,"012508",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US08013012508",,,"3508946","55031",3340,3340,2465.287,1.35481168252517,3340,1789,1551,3340,141,162,109,72,842,788,458,361,208,84,73,42,3340,3017,8,0,43,0,160,112,1334,628,477,151,71,80,706,357,349,79375,1382,1334,593,741,3340,511,464,975,2365
"08013012509","Census Tract 125.09, Boulder County, Colorado","Census Tract 125.09, Boulder County, Colorado","co","140","00","ACSSF","0001344",,,,,"08","013",,,,"012509",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US08013012509",,,"1764762","51241",3393,3393,4979.612,0.681378446541065,3393,1644,1749,3393,225,324,198,87,171,254,531,527,465,295,173,143,3393,2970,69,0,123,0,30,201,1308,907,799,108,37,71,401,119,282,102778,1308,1308,1008,300,3356,274,181,455,2901
"08013012510","Census Tract 125.10, Boulder County, Colorado","Census Tract 125.10, Boulder County, Colorado","co","140","00","ACSSF","0001345",,,,,"08","013",,,,"012510",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US08013012510",,,"50675907","87793",4493,4493,229.6321,19.5660782984323,4493,2096,2397,4493,85,312,300,158,295,347,570,752,791,544,278,61,4493,4247,0,0,126,7,22,91,1919,1259,1159,100,30,70,660,306,354,115156,2020,1919,1545,374,4493,104,262,366,4127
"08013012511","Census Tract 125.11, Boulder County, Colorado","Census Tract 125.11, Boulder County, Colorado","co","140","00","ACSSF","0001346",,,,,"08","013",,,,"012511",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US08013012511",,,"1931915","11251",6190,6190,8298.515,0.745916583397298,6190,3160,3030,6190,98,135,69,176,3112,431,480,351,311,294,433,300,6190,5101,75,6,674,48,162,124,1847,760,627,133,74,59,1087,352,735,52354,1889,1847,662,1185,3730,790,506,1296,2434
"08013012603","Census Tract 126.03, Boulder County, Colorado","Census Tract 126.03, Boulder County, Colorado","co","140","00","ACSSF","0001347",,,,,"08","013",,,,"012603",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US08013012603",,,"1740264","0",3570,3570,5313.135,0.671919715458141,3570,1926,1644,3570,206,127,228,134,398,483,493,515,413,350,110,113,3570,3334,0,0,117,0,9,110,1489,870,747,123,36,87,619,249,370,96387,1557,1489,1020,469,3547,385,234,619,2928
"08013012605","Census Tract 126.05, Boulder County, Colorado","Census Tract 126.05, Boulder County, Colorado","co","140","00","ACSSF","0001348",,,,,"08","013",,,,"012605",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US08013012605",,,"1233102","0",1693,1693,3555.95,0.476103364185471,1693,1111,582,1693,54,24,17,3,876,425,118,47,98,16,10,5,1693,1312,0,13,264,0,54,50,724,222,175,47,20,27,502,339,163,38077,767,724,143,581,1673,675,345,1020,653
"08013012607","Census Tract 126.07, Boulder County, Colorado","Census Tract 126.07, Boulder County, Colorado","co","140","00","ACSSF","0001349",,,,,"08","013",,,,"012607",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US08013012607",,,"718293","0",5343,5343,19265.54,0.277334489580647,5343,2737,2606,5343,50,0,46,9,3618,837,207,88,80,147,85,176,5343,4347,165,108,330,0,89,304,2958,286,165,121,69,52,2672,1322,1350,22264,3224,2958,275,2683,5315,2844,1148,3992,1323
"08013012608","Census Tract 126.08, Boulder County, Colorado","Census Tract 126.08, Boulder County, Colorado","co","140","00","ACSSF","0001350",,,,,"08","013",,,,"012608",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US08013012608",,,"895759","0",2521,2521,7289.192,0.345854498167559,2521,1304,1217,2521,59,112,125,22,495,636,327,231,230,154,68,62,2521,2172,2,36,126,0,24,161,1016,446,352,94,36,58,570,294,276,88750,1065,1016,515,501,2422,291,244,535,1887
"08013012701","Census Tract 127.01, Boulder County, Colorado","Census Tract 127.01, Boulder County, Colorado","co","140","00","ACSSF","0001351",,,,,"08","013",,,,"012701",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US08013012701",,,"46712141","3674324",6049,6049,335.3911,18.0356588524734,6049,2822,3227,6049,413,338,303,171,480,635,777,1037,1082,541,140,132,6049,5712,16,20,138,0,0,163,2343,1688,1476,212,45,167,655,217,438,130150,2457,2343,1968,375,5975,123,252,375,5600
"08013012705","Census Tract 127.05, Boulder County, Colorado","Census Tract 127.05, Boulder County, Colorado","co","140","00","ACSSF","0001352",,,,,"08","013",,,,"012705",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US08013012705",,,"4374696","132676",4088,4088,2420.253,1.68907964052343,4088,2044,2044,4088,109,219,124,98,352,1106,697,521,516,284,53,9,4088,3538,48,14,150,22,158,158,2114,793,567,226,70,156,1321,674,647,63796,2268,2114,967,1147,4057,344,410,754,3303
